Cites,Year,Source,ArticleURL,CitesURL
0,2015,Check List,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84941620027&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84941620027&origin=inward
0,2018,Journal of Vegetation Science,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85040747079&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85040747079&origin=inward
0,2016,Mastozoologia Neotropical,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85019762684&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85019762684&origin=inward
0,2018,Journal of Plant Research,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85027835712&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85027835712&origin=inward
0,2017,Beneficial Microbes,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85019770400&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85019770400&origin=inward
0,2018,Molecular Reproduction and Development,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85041601539&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85041601539&origin=inward
0,2017,IUCN/SCC Otter Specialist Group Bulletin,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85037081596&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85037081596&origin=inward
0,2017,Arid Land Research and Management,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85028765919&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85028765919&origin=inward
0,2013,AgriScientia,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84883668277&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84883668277&origin=inward
0,2016,Phytotaxa,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84976324525&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84976324525&origin=inward
0,2017,Journal of Magnetism and Magnetic Materials,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=85008196497&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=85008196497&origin=inward
0,2016,Zootaxa,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84960414749&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84960414749&origin=inward
0,2013,Cotinga,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84884232891&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84884232891&origin=inward
0,2012,Florida Entomologist,https://www.scopus.com/inward/record.uri?partnerID=HzOxMe3b&scp=84867765576&origin=inward,https://www.scopus.com/inward/citedby.uri?partnerID=HzOxMe3b&scp=84867765576&origin=inward
